Data,Chuva -Maria,Nível-Maria
11/02/2020 10:40,,89547
11/02/2020 10:00,0,89544
11/02/2020 09:30,,89537
11/02/2020 09:00,0,89529
11/02/2020 08:30,,89526
11/02/2020 08:00,0,89522
11/02/2020 07:30,,89515
11/02/2020 07:00,0,89506
11/02/2020 06:30,,89501
11/02/2020 06:00,0,89497
11/02/2020 05:30,,89492
11/02/2020 05:00,,89489
11/02/2020 04:30,,89487
11/02/2020 04:10,,89486
11/02/2020 03:30,,89486
11/02/2020 03:00,0,89487
11/02/2020 02:30,,89487
11/02/2020 02:00,0,89487
11/02/2020 01:30,,89486
11/02/2020 01:00,0,89485
11/02/2020 00:30,,89484
11/02/2020 00:00,0,89484
10/02/2020 23:30,,89483
10/02/2020 23:00,0,89483
10/02/2020 22:30,,89482
10/02/2020 22:00,0,89483
10/02/2020 21:30,,89483
10/02/2020 21:00,0,89484
10/02/2020 20:30,,89483
10/02/2020 20:00,0,89481
10/02/2020 19:30,,89480
10/02/2020 19:00,0,89479
10/02/2020 18:30,,89478
10/02/2020 18:00,0,89477
10/02/2020 17:30,,89476
10/02/2020 17:00,0,89476
10/02/2020 16:30,,89475
10/02/2020 16:00,0,89474
10/02/2020 15:30,,89473
10/02/2020 15:00,0,89473
10/02/2020 14:30,,89473
10/02/2020 14:00,0,89472
10/02/2020 13:30,,89472
10/02/2020 13:00,0,89472
10/02/2020 12:30,,89472
10/02/2020 12:00,0,89472
10/02/2020 11:30,,89472
10/02/2020 11:00,0,89472
10/02/2020 10:30,,89472
10/02/2020 10:00,0,89472
10/02/2020 09:30,,89471
10/02/2020 09:00,0,89472
10/02/2020 08:30,,89471
10/02/2020 08:00,0,89472
10/02/2020 07:30,,89472
10/02/2020 07:00,0,89471
10/02/2020 06:30,,89471
10/02/2020 06:00,0,89471
10/02/2020 05:30,,89471
10/02/2020 05:00,0,89471
10/02/2020 04:30,,89472
10/02/2020 04:00,0,89472
10/02/2020 03:30,,89471
10/02/2020 03:00,0,89472
10/02/2020 02:30,,89472
10/02/2020 02:00,0,89472
10/02/2020 01:30,,89471
10/02/2020 01:00,0,89472
10/02/2020 00:40,,89471
10/02/2020 00:00,0,89472
09/02/2020 23:30,,89471
09/02/2020 23:00,0,89472
09/02/2020 22:30,,89472
09/02/2020 22:00,0,89472
09/02/2020 21:30,,89472
09/02/2020 21:00,0,89472
09/02/2020 20:30,,89472
09/02/2020 20:00,0,89471
09/02/2020 19:30,,89471
09/02/2020 19:00,0,89471
09/02/2020 18:30,,89471
09/02/2020 18:00,0,89471
09/02/2020 17:30,,89471
09/02/2020 17:00,0,89471
09/02/2020 16:30,,89471
09/02/2020 16:00,0,89471
09/02/2020 15:30,,89471
09/02/2020 15:00,0,89471
09/02/2020 14:30,,89471
09/02/2020 14:00,0,89470
09/02/2020 13:30,,89471
09/02/2020 13:00,0,89471
09/02/2020 12:30,,89470
09/02/2020 12:00,0,89470
09/02/2020 11:30,,89470
09/02/2020 11:00,0,89471
09/02/2020 10:30,,89471
09/02/2020 10:00,0,89471
09/02/2020 09:30,,89471
09/02/2020 09:00,0,89471
09/02/2020 08:30,,89471
09/02/2020 08:00,0,89471
09/02/2020 07:30,,89471
09/02/2020 07:00,0,89471
09/02/2020 06:30,,89471
09/02/2020 06:00,0,89471
09/02/2020 05:30,,89471
09/02/2020 05:00,0,89471
09/02/2020 04:30,,89471
09/02/2020 04:00,0,89471
09/02/2020 03:30,,89472
09/02/2020 03:00,0,89472
09/02/2020 02:30,,89472
09/02/2020 02:00,0,89472
09/02/2020 01:40,,89472
09/02/2020 01:00,0,89472
09/02/2020 00:30,,89472
09/02/2020 00:00,0,89472
08/02/2020 23:30,,89472
